,Arm,Value
0,3,-0.0009416055116504806
1,4,-0.000240987655196524
2,5,-0.0090543782153132
3,6,-0.028471014649285503
4,7,-0.002323431583010705
5,8,-0.083170326736785
6,9,-0.2499803462247751
7,10,-0.02779157244294378
8,11,-0.15207392696529104
9,12,0.6933055425831686
10,13,-0.3943916710853535
11,14,0.3042662117462769
12,15,-0.0439122476767089
13,16,0.26359916520397275
14,17,-0.015706069987942464
15,18,-0.13416730882817557
16,19,-0.0
17,20,0.29553189849257
