0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0.7448868594374792,1.1190143758403144,1.8214285714285714,7.0,1.5,2.0,1.0147234753550542,1.2805911266330359,1.8,2.25,3.0,1.0,1.0383957115827345,1.2822769953051645,1.75,1.5,1.0,1.0
0.7526206327301246,1.3953125,2.875,6.0,1.0,1.0,1.046878727019929,1.319178082191781,3.25,3.5,1.0,1.0,1.0233898697226345,2.147286821705426,1.2,1.5,1.0,1.0
0.6670940768556868,1.98,3.25,1.0,1.5,1.0,1.0091216216216217,1.8103448275862069,4.0,3.5,1.0,1.0,1.0828431162065066,1.6409090909090907,1.5,1.0,1.0,1.0
0.8923647745656609,2.25,5.0,1.0,1.0,0.9994981142409354,0.993279258400927,2.9411764705882355,5.5,3.0,1.0,0.9941520765465671,1.325829383886256,1.8888888888888888,4.0,1.5,1.0,0.9957694167324962
1.2712657712657713,3.0833333333333335,6.0,1.0,1.0,1.0569964142008594,1.0790343915343914,2.25,1.0,1.0,1.0,1.0552851716897231,1.7378854625550662,2.0,3.0,1.0,1.0,1.083580375061859
0.8173758865248227,5.75,1.5,2.0,1.0,1.1675020281084874,1.9838709677419355,5.75,2.0,2.0,1.0,1.032124795048842,2.3135593220338984,1.75,2.0,1.0,1.0,1.1809552244464665
2.125,13.0,2.0,1.0,1.0188080568130595,1.5350980392156863,2.8571428571428568,6.0,2.0,1.0,1.0353917561142056,1.2355140186915887,0.8571428571428572,3.5,1.0,1.0,1.01094649953846,1.1558194927256342
1.785714285714286,10.0,3.0,1.0,1.1225531550912418,1.402222222222222,4.75,3.5,1.0,1.0,1.0303350555816502,1.8169642857142856,2.25,1.0,1.0,1.0,1.0297325826882477,0.6864035087719298
3.0,2.0,1.0,1.0,1.3049554180030971,1.973214285714286,17.0,5.0,1.0,1.0,0.9441159566506374,2.2587719298245617,5.5,3.0,1.0,1.0,0.9637945941026574,0.9741379310344828
4.0,3.5,1.0,0.9985831059859827,1.1459385457864313,3.5833333333333335,5.0,4.0,1.0,0.9945417980712098,1.3688235294117648,2.34375,2.5,1.0,1.0,1.0368718599741706,1.1142086881931252,1.34375
3.0,3.0,1.0,1.0449975884729004,2.011111111111111,7.333333333333333,4.0,1.0,1.0,1.0703107221006565,1.340277777777778,2.75,3.0,1.0,1.0,1.0292603144890506,1.1488372093023256,1.5
1.0,1.0,1.0,1.2026637667427538,2.0172413793103443,6.5,2.0,1.0,2.0,1.2247413492107246,1.217741935483871,3.0,2.0,1.0,1.0,1.1277363594378835,1.0086206896551724,1.5
2.0,1.0,0.9530322344902182,1.0788446526151443,3.21875,8.5,2.0,1.0,1.0241346228166055,1.0264707705659908,3.8,2.0,1.0,1.0,1.0536052375342104,1.0734987625374495,1.2857142857142856,2.5
3.0,1.0,1.0361374736374738,1.7719298245614037,5.25,8.0,2.0,1.0,1.0932152445555379,1.5253218884120172,2.8,2.0,1.0,1.0,1.0551924886310178,1.375438596491228,1.5,1.0
1.5,1.0,1.131929211687925,2.569230769230769,10.5,4.0,1.0,1.0,1.1151337803908534,1.9537037037037037,2.75,2.0,1.0,1.0,1.0671597077524302,1.2704918032786885,1.5,1.0
2.0,0.9292758026478409,1.474180092059839,4.8125,12.5,1.0,1.0,1.070234129909358,1.0141176470588236,2.8,5.0,2.0,1.0,1.0093559074780023,1.1127836809654992,2.0,4.0,1.0
2.0,0.9522775552935436,1.6880530973451329,7.5,5.5,1.0,1.0,1.0472210886702058,0.9485583224115333,3.1666666666666665,2.5,1.0,1.0,0.9923059872206643,1.7009009009009008,2.625,1.0,1.0
1.0,1.1647673314339981,2.133928571428571,13.5,3.5,1.0,1.0,1.1147289017805422,1.4596774193548385,5.0,2.0,1.0,1.0,0.9989241766839747,1.5178571428571428,3.5,1.0,1.0
0.9520421650283593,1.5475222816399286,2.5769230769230766,21.5,1.0,1.0,1.0195449486726127,1.2148617511520738,2.333333333333333,2.5,2.0,1.0,1.0571749315106467,1.1438536953242835,2.285714285714286,2.5,1.0,1.0
0.9263767200950215,1.365909090909091,5.2,6.0,2.0,1.0,1.087759404390206,0.9719626168224299,3.375,1.0,1.0,1.0,1.0486674941588785,1.0264550264550265,1.6,1.0,1.0,1.0
1.1324956991258486,1.3898305084745761,6.5,4.5,1.0,1.0,1.0997231606606606,1.0689655172413794,7.5,1.0,2.0,1.0,1.0580441845883244,1.4098360655737705,1.5,1.0,1.0,1.0
