1N,2N,3N,4N,5N,6N,ratio
-0.3323745477410596,-0.2020177072523609,-0.6056681393954932,-0.532133855859501,-0.2589948893355562,-0.3442769138474988,-0.7857695762100552
-0.3321018815282792,-0.1986964126160944,-0.3531377995468361,-0.4709873635273497,-0.2404889206125692,-0.3067769825677545,-0.5641463398899513
-0.328583830743456,-0.3093935458548274,-0.3574943204424654,-0.3547141096825967,-0.3068039791239787,-0.3243746131999755,-1.0218638315237132
0.2621003231247314,0.1615846500611358,-0.0950839503439833,-0.0535488806593306,0.2128671648813907,0.1104020276207485,0.5376252987696937
-0.8602001535891907,-0.7694881982723161,-0.4704055749325042,-0.4767109227408765,-0.5709076268760087,-0.791023136958755,-1.747302906935477
-0.7702541002424836,-0.129522249394741,-0.1320857848411764,-0.060425643003794,-0.0810676653937817,-0.806722712119532,-0.5510800659004988
-0.3708963950678519,-0.1900713779917894,-0.1817373286879243,-0.2698285822399577,-0.2093119498308497,-0.3617305770872445,-0.748147296534319
-1.330842727842439,-0.5885242064794212,-0.4920775604268831,-0.4693411009038597,-0.5736830162984643,-1.440048168758133,-1.704871964456353
-2.439976579120575,-0.6961562028876608,-0.7174097269533046,-0.6845412275374837,-0.7010196884659434,-2.37146184135232,-2.933712508835654
-0.8599706588362458,-0.6382851654011612,-0.5402865510852198,-0.5575031115773574,-0.6071254806733897,-0.8638835378500833,-2.32244325112954
-1.5507105173652334,0.11126334750487,-0.2275051396203718,-0.2637381599810308,0.0885430946825753,-1.4978659662673528,-1.0054399123331166
-0.9843535069191152,-0.3338768849813744,-0.6323898552540816,-0.6118087738171063,-0.4516217090438178,-0.93589654000278,-2.2526654324502484
-0.5209294959320231,-0.4298588316239617,-0.5820105696965668,-0.5067139297179429,-0.5665987353587911,-0.4648619175186758,-1.2757520488285292
0.1097229616094579,-0.2916847627552785,-0.2424533549440885,-0.2042889080319427,-0.3295065234875345,0.0981747576060765,-0.4851915348202318
-0.8077257196850887,-0.6209684021599694,-0.653695385169205,-0.63970264879917,-0.5815971442294632,-0.8268536419585637,-1.985838168054909
0.083740479708759,-0.0555349038489779,-0.0956054995336321,-0.2230593227944367,-0.0039137847877462,0.1500789473611396,0.1101437731168951
-0.528275753514927,-0.7589438476184058,-0.4641146520869457,-0.4252903415185547,-0.7826588152429188,-0.5551865319199193,-1.693466152748539
-1.3419707259474438,-0.8659736158532358,-0.7362691505718914,-0.8102652037605489,-0.809720011605833,-1.3941466480919038,-2.6275007225001006
-0.1141680490333723,-0.1984522452184377,-0.3291622068575673,-0.3205064244346797,-0.2154079444429339,-0.1348669463348532,-1.3166240630274353
-0.4029625827060902,-0.6163005623273452,-0.6327483966497118,-0.606232436452333,-0.6176895760061303,-0.2566624309864494,-1.1686845831031427
0.0769323889963158,-0.0628830520851095,-0.8330635903696454,-0.8971669139017616,-0.0611658499892706,-0.0257937949122985,-0.4301997766256163
-1.2544018945352922,-0.2514761767608378,-1.7062281115657922,-1.704347924711978,-0.2653388292860503,-1.0621484526038727,-0.6471425718866538
-0.4736481656069756,-0.1976259351321288,-0.9350145959212334,-0.9321487568119896,-0.1880869399169685,-0.5049150307650366,-1.7175882049673157
-1.1212943168984788,-0.4195715703264046,-1.0772861529683273,-1.017928855399269,-0.3197818718319241,-1.1303155992886915,-1.3819754785573013
-1.8345972319623545,-0.7424539372791362,-0.841956421542137,-0.8816563191965061,-0.7466827592818832,-1.9119253864285723,-2.388639682402181
0.0349414195405063,-0.4410803185265236,-0.1841961589750513,-0.1377393553554613,-0.4343909215458044,0.0612382758656712,-0.4956378400302562
-1.4215545680966315,-0.1639717504026138,-0.4831144697155322,-0.4522645292017214,-0.1376328278008996,-1.585660323249007,-1.6234805778684518
-0.4505916374029954,-0.6413476030459163,-0.5108289341705184,-0.5484357806495502,-0.5405626323563514,-0.3901779956170373,-1.4151114059431815
-0.2033084251199184,-0.6559037571239432,-1.060579752527892,-1.142474659939417,-0.6296771695925222,-0.3438730318164685,-1.8896898548549104
0.0928707059265418,-0.5013419046959451,-0.5542833592085575,-0.3947748388722055,-0.5504222533988545,0.0727275655281548,-0.7627031555798145
