0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0.8866305750419272,0.9688473520249221,1.1698113207547172,1.6666666666666665,3.0,3.5,1.0501808055685895,1.0401685393258426,1.1851851851851851,2.75,4.0,1.0,0.9265457619163275,1.3437620702974122,1.1111111111111112,4.25,4.0,2.0
0.951173245191381,0.7810880829015544,1.2352941176470589,6.0,3.0,2.0,1.0760201532179265,2.5953703703703703,1.7894736842105265,5.0,3.5,2.5,0.9474763717511158,1.2938756855575868,1.6666666666666665,5.0,2.0,2.0
1.0927622661968013,0.9713114754098361,1.75,3.0,3.0,3.0,1.1981370020063054,1.1388888888888888,2.083333333333333,4.0,2.0,2.0,1.2511329963395506,0.975609756097561,2.2,6.0,1.0,1.0
1.1352193521935219,1.0472972972972971,5.25,5.5,1.0,0.9685876171279983,0.6650429799426933,1.29,4.0,1.5,2.0,0.9817644807959056,0.8556573173058577,1.347826086956522,1.8333333333333333,4.0,1.0,1.0064204590898185
1.2419786096256684,1.152173913043478,2.0,2.0,1.0,1.0068905889750577,3.0391969407265775,1.6875,4.0,2.0,2.0,0.7647182949989448,1.0830188679245283,1.21875,3.5,2.0,2.0,1.1517134850556308
1.059090909090909,1.6875,1.5,2.0,2.0,0.8311150869843487,1.6090909090909093,2.5,3.0,3.0,2.0,0.8527981811822315,1.1636904761904763,1.2142857142857144,2.0,3.0,1.0,1.2261897764454632
0.972972972972973,2.0,3.5,2.0,1.0134254834319714,0.921485260770975,1.3076923076923077,1.8333333333333333,2.0,4.0,0.9375839500890872,1.1792741165234002,1.2444444444444445,2.75,9.5,2.0,1.0461235329675593,1.180483592400691
1.1538461538461537,9.0,2.0,3.0,1.3234557399140907,2.5987202925045705,1.5625,1.25,4.0,1.0,0.9459793741984222,0.8302583025830258,1.6875,7.5,2.0,1.0,1.1531382775032368,2.5170454545454546
2.142857142857143,3.0,2.0,1.0,0.8706662036233141,1.130952380952381,2.071428571428571,1.0,2.0,2.0,1.410024154589372,1.1363636363636362,1.6666666666666665,6.5,3.0,1.0,0.7627821369756853,1.1137724550898205
3.5,7.0,1.0,1.1285956837353137,0.6974885844748858,1.1346153846153846,2.75,2.0,3.0,1.0673767691512817,1.1675257731958761,1.2352941176470589,3.25,2.0,1.0,0.9349639622917216,1.0207982012366497,1.1666666666666665
12.5,2.0,2.0,1.1497560550618573,1.3459780621572213,1.75,2.0,4.5,1.0,1.016579682640097,1.4937388193202148,2.1,4.0,4.0,2.0,1.1663564403933797,2.0114942528735633,1.2058823529411766
9.5,2.0,3.0,0.9715091066782306,1.628125,4.5,2.0,1.5,1.0,0.8980949082092138,1.190625,3.0,4.0,3.0,1.0,1.0002602811035919,1.5811688311688312,2.9166666666666665
6.5,1.0,0.900689610377819,0.9280429927414852,1.2777777777777777,3.75,7.0,1.0,1.0351470626336834,1.5118510158013545,1.018181818181818,3.0,4.0,3.0,1.03907228143036,1.186095238095238,1.3775510204081631,3.3333333333333335
4.0,2.0,1.0400540888405374,1.31875,1.9666666666666666,3.25,2.5,3.0,0.8512233958901236,1.5828625235404896,1.34375,1.5,3.0,1.0,1.0072421477079796,2.021698113207547,1.34375,3.25
4.0,3.0,1.0726975842995095,1.1310975609756098,3.2,6.5,2.0,1.0,1.351122295499248,0.8764705882352941,2.333333333333333,3.0,3.0,1.0,1.024249223334484,2.1595092024539877,2.375,7.0
5.5,1.019637134759364,0.8497175141242939,1.8571428571428572,5.0,6.0,3.0,0.9094857669042817,0.7542808219178082,1.25,3.5,2.5,1.0,0.981463445726305,0.7763456090651558,1.7916666666666665,2.1666666666666665,3.0
2.0,1.1304623983739837,0.7883912248628885,1.3333333333333335,7.0,4.0,1.0,1.058151941954759,1.0421348314606742,1.8214285714285714,5.0,3.0,2.0,1.0652611403138041,1.0654648956356736,1.9642857142857142,3.0,3.0
1.0,1.239855313487444,1.0792682926829267,2.0,4.0,2.5,2.0,0.8183324761414938,1.1005917159763312,1.8,3.5,3.0,1.0,0.9101327566338853,1.2085889570552149,1.2,1.0,1.0
0.9351336049642919,1.0147304057809894,1.0377358490566038,2.5,6.5,1.0,1.131323957269181,1.2531108597285068,1.24,3.75,5.5,1.0,0.9950258580872828,0.778080229226361,1.25,4.0,4.0,2.0
1.0639369086826838,1.082882882882883,1.1842105263157894,6.0,3.0,2.0,0.9778837165537007,0.7729007633587786,1.8461538461538463,9.0,4.0,1.0,0.9681957477619576,1.0595238095238095,1.7666666666666666,4.0,3.0,1.0
0.9359766971822614,0.9860335195530726,2.25,4.0,4.0,3.0,1.0131465144438678,1.574074074074074,2.7,2.0,4.0,2.0,0.953848833159178,1.6392405063291138,2.4,3.0,4.0,1.0
