1N,2N,3N,4N,5N,6N,ratio
-0.1669047466554097,-0.096478068655932,-0.2351488145740726,-0.2355433845236828,-0.0532212551019682,-0.1126370825629541,-0.5731683423717834
-0.2135535581329416,-0.0212507403318971,-0.1630984407011838,-0.2081323945640015,-0.0614518155317611,-0.2681211754784652,-0.5255668233715937
-0.595077698241362,-0.344252481610321,-0.3698885816445043,-0.3056068498677584,-0.3597917573023327,-0.5463158882631985,-1.5075832408224092
0.2328617803579963,0.1480988947990705,0.0075100312252891,-0.0113431767390287,0.194469501227918,0.2292724409462356,0.4545342652605654
-0.7644058202130499,-0.3710733808820599,-0.352446767844842,-0.2965507856729241,-0.4823725112416205,-0.813822208222865,-1.6627464887836765
-3.664692391536414,-0.6425548227129632,-0.9954992818741114,-1.0420476890312704,-0.6656267283650835,-3.760487340313341,-4.339341025973052
0.1053043419738521,-0.1219866376237129,-0.0064836892022077,-0.0407072915043444,-0.1507878109480079,0.0706696859765219,-0.5933906791891994
-0.6191992041503218,-0.1396183280105121,-0.1870277180549697,-0.1621516907675915,-0.2193834487891213,-0.6239451927417197,-0.9187496794768356
-5.051291115193822,-1.4966106331155908,-2.2293982542284367,-2.132848236115187,-1.4306327021346026,-5.124194549331043,-6.396604781181858
-1.5882728026136674,-0.5395138802599051,-0.979828082240479,-1.1804615699332528,-0.471890407605933,-1.5585292659524494,-3.097610796626422
-3.850622821787747,-0.5305330302573189,-1.192000428425989,-1.182113405900351,-0.5047933517042228,-3.6391589337394135,-3.1096644766248374
-0.281459788354744,0.0040765806520209,-0.5765539457001108,-0.4823574986462244,0.0514946846584743,-0.2104623205189686,-0.6738719165833519
-0.7477093270087187,-0.4541553147703533,-0.486272747736851,-0.442449136343568,-0.4520909289457449,-0.7866893960198195,-1.3612579419219175
-2.8616442618960742,-0.6040161777007962,-0.9992406814219708,-1.0351152934829593,-0.608366669502784,-2.97541703166654,-3.611114788577125
-0.4069090211906068,-0.2837786821339781,-0.4807283298462619,-0.4917347513556565,-0.2651779116707674,-0.4889303980627982,-1.5345889782060371
-0.0237797099126171,-0.0006929922042793,-0.0801239445945284,-0.0770665224174285,-0.0147165818609711,-0.0135983834972172,-0.287887949724939
-0.4482434864318164,-0.3746892396522326,-0.3587692865693316,-0.332021266463134,-0.418320210093367,-0.4889800694066462,-1.9228443817357588
-1.014457901361583,-0.4115695909520264,-0.5396024446994472,-0.5707541654491985,-0.3837994501267694,-0.975266144497543,-2.002837159303529
-0.5359699256952525,-0.3307824390483471,-0.2539702883783303,-0.2235503533951731,-0.2714874189773699,-0.5769995835629064,-1.553303345393089
-0.3813242833692406,-0.3843145962607383,-0.5042701889551818,-0.5302864232947853,-0.3491109428051059,-0.4730734031852646,-1.1521980390626547
-0.2158943397361341,-0.233635710876044,-1.5469226219866017,-1.4705421949183402,-0.2143685620681781,-0.2176757132229658,-1.198045065684986
-3.0611253694664304,-1.2271319365726443,-1.955295794459114,-1.9427634219017351,-0.9664343669479816,-2.7826761788529724,-3.029211921216488
