1N,2N,3N,4N,5N,6N,ratio
-0.0818469773517674,-0.0794859169601154,-0.2942347633206722,-0.29125656077501966,-0.0416429163886742,-0.06359794249857395,-0.296871801923137
-0.0886592733745291,-0.053513096642869545,-0.25474921808105233,-0.303617908263925,0.0460900909675174,-0.10589734288107719,-0.4568249100659013
-0.6175740878577252,-0.6700273861971238,-0.4611804061327327,-0.42439094320270576,-0.6036371504645048,-0.6666970693590132,-1.6008630018021694
0.18698105041822105,0.1857793148729972,-0.09651094010407425,-0.0874099153968812,0.1204950480227896,0.2015129539562574,0.48226182289892505
-1.410809964324507,-0.7397571243261943,-0.2646535244840699,-0.3095661524574132,-0.7531435784669227,-1.44415241926005,-2.4574962274252683
-3.2158675019756364,-0.19413671464887466,-0.3426730154974699,-0.2685558979250625,-0.24273191257672025,-2.9840751249325685,-2.5811531549426747
0.5274512325953181,0.3077160963578569,0.2234998752692806,0.1637309379146487,0.2841998938539421,0.5010706387728141,0.5084291855142343
-1.099025248155958,-0.6698709185267369,-0.6521803331682554,-0.6216158854126874,-0.6641028026170108,-1.0467189676742783,-2.3835183857641042
-3.845802539351263,-0.8713799463649308,-1.6083331143313266,-1.6762909792454297,-0.8937890490013756,-3.4456892110151554,-3.8370479730668636
-1.725571484190134,-0.6419706012624462,-1.446156102670882,-1.384253190357899,-0.6451567013375223,-1.601096800493277,-3.660155417988162
-3.676966113076169,-0.9970975857718942,-1.5444026932964854,-1.384363455236563,-1.032277655154328,-3.606524026565574,-4.035335932944076
-0.09493214409015995,0.0306840692020543,-0.32081702384640465,-0.4748013093052072,0.055593650979881545,-0.16038652094765588,-0.32654730459238385
-0.35564828300998863,-0.19733564271541554,-0.25277918244927233,-0.1940540277784002,-0.19938308650968378,-0.32280726695537876,-0.554945392107328
-2.2971463664585103,-0.3829530027204293,-0.6212362501766495,-0.6533393147300278,-0.43077489232789457,-2.0896820519326926,-2.487661219579971
-0.7168674863055411,-0.6520007725929683,-0.4915670612429923,-0.4976319555216745,-0.6596947364392387,-0.8094143257936375,-1.9635526794609333
-0.12314793150435555,-0.07309341319012069,0.1136565028512053,0.0930993070123936,-0.038486844027466396,-0.07632587885613205,-0.03857251008838005
-0.27741742534898073,-0.1931535660585042,-0.2701085489925994,-0.16709056901240335,-0.16118845047311464,-0.2889699534920888,-0.44352686652151946
-0.16354174815123412,-0.4070735691814136,-0.4778478300264346,-0.6182835955087813,-0.3930012194839071,-0.1298095451427975,-0.8424752317775563
-0.4492566486736611,-0.2664492628236914,-0.1646367284472848,-0.2029155028213242,-0.10645219292374945,-0.31684716724675666,-0.7734521674928352
-0.3667933659162377,-0.5421191189911725,-0.660082146216278,-0.5843855863400881,-0.5372093316103642,-0.4170797491677939,-0.8650719715822425
-0.6354391799902548,-0.6418207848100044,-1.7847799661017565,-1.7336267971795754,-0.5402034202455938,-0.5973702498759617,-1.7226830316989394
-3.300840604528627,-1.5543509826424509,-2.99215393312815,-3.1244269117296346,-1.3728445307494437,-3.552180678236615,-3.8026224572140954
-0.7264917965974391,-0.6531328732356332,-2.3391675671214163,-2.2970627814793816,-0.8614114824108506,-0.5924647117884285,-2.6654186120078043
-0.5997297595137088,-0.5519978348342796,-2.3824705067839957,-2.3434554827467267,-0.6054015713709722,-0.49086500960445534,-1.537888546799839
-3.102618238003475,-0.4442407637593599,-0.5423705354657613,-0.43745571466856825,-0.5604590509574365,-2.725458721932883,-2.1803792715219266
-0.0909799203409955,-0.3785900985243242,-0.43578182330098925,-0.40437766160652533,-0.5674048193475549,-0.041410785522391275,-1.1729686863801414
-3.289233387160391,-0.5222925335102617,-0.31258667727572065,-0.4737686878342582,-0.48279364037544603,-3.2890491816780028,-3.0003245823522104
-0.027286816934780356,-0.200688650939764,-0.31256441476235663,-0.2877013866954762,-0.1493562251870191,0.019116578440832255,-0.9239285518751776
-0.4466739274423244,-0.4000599885558505,-0.37748856654742685,-0.487677711561626,-0.4174241815075741,-0.3526250222165589,-0.8773860749001864
-1.6957178773910635,-0.45926606652837026,-0.8512445589980152,-0.8636401150815197,-0.4660301472956532,-1.7046542934079079,-1.5791685135835503
-0.42122059419806157,-0.28458114169273024,-0.6170012441812719,-0.5142185904339212,-0.2757984955522703,-0.4413381746607439,-1.512233456301557
-0.5953105182576092,-0.5466244331369352,-0.17382050015220898,-0.15401845280185594,-0.5494629097337959,-0.6286090355774738,-1.182920275635701
-0.19362009017702805,-0.034946962425572055,-0.1325435006443858,-0.22284019195223456,-0.046896363893985,-0.14963901860350082,-0.8224608731184226
-0.7904420684426658,-1.1370506833183738,-1.027221426007462,-1.0280553790282607,-1.3717716775576192,-0.8850272904572278,-3.4436956151736506
-1.1876193468538676,-2.0399590728714694,-2.3935919872956983,-2.176737294953666,-1.835032216798996,-1.3602959770764724,-2.85684790742168
-0.2687947060362768,0.0312242988650542,-0.9600088600530343,-1.085732908066419,-0.030117600554472004,-0.2399741311917784,-0.8363379632658472
-1.34432735722553,-1.169142061156839,-0.6538577033726596,-0.7023102785943249,-1.2432918237283275,-1.3647101441234948,-2.534764502628077
