arm_size,mean,zone
3,-0.0085467608989042,non
4,0.0151762683408413,non
5,0.0490189336936806,non
6,0.1319377749421109,non
7,0.211674682743349,non
8,0.533852138930373,non
9,0.8545514875961449,non
10,1.5406373116666878,non
11,1.8362112317988888,non
12,2.9444389791664403,non
13,3.4011973816621555,non
14,3.4011973816621555,non
15,3.1780538303479458,non
16,3.1354942159291497,non
17,2.4849066497880004,non
18,2.9444389791664403,non
19,1.0986122886681098,non
20,0.0,non
