0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0.8249790444258173,1.1102941176470589,1.6666666666666667,12.0,12.0,3.0,0.9921243082162622,1.019047619047619,7.0,5.0,1.0,1.0,1.0055878408582923,1.5212765957446808,3.0,4.0,1.0,1.0
0.8574807806031933,1.6097560975609757,3.5,7.0,4.0,1.0,1.098699311400153,1.5517241379310345,10.0,2.0,1.0,1.0,1.0324881141045958,1.9642857142857144,5.0,1.0,1.0,1.0
0.9341825902335456,1.5384615384615383,8.0,9.0,2.0,1.0,1.1662125340599454,1.75,8.0,1.0,1.0,1.0,1.108187134502924,2.375,4.0,2.0,1.0,1.0
0.889763779527559,2.0,8.0,4.0,2.0,0.9876336197862084,1.4205607476635511,3.5,9.0,1.0,1.0,0.9799732977303072,1.2268041237113405,5.333333333333333,3.0,1.0,1.0,0.9912941176470588
1.1470588235294117,7.0,8.0,3.0,1.0,1.093111279333838,1.5161290322580645,14.0,4.0,1.0,2.0,1.005503144654088,1.7777777777777777,6.0,1.0,1.0,1.0,1.064516129032258
1.2727272727272727,11.0,5.0,3.0,1.0,1.2981029810298104,3.0,13.0,3.0,1.0,1.0,1.1268011527377522,2.2222222222222223,1.0,1.0,1.0,1.0,1.2
4.333333333333333,13.0,5.0,1.0,0.9974758098443416,1.2403846153846154,4.333333333333333,14.0,2.0,2.0,1.0008745080892,1.3958333333333333,4.5,3.0,1.0,1.0,1.0189340813464236,1.2087912087912087
3.0,7.0,1.0,1.0,1.0507575757575758,2.0,13.0,6.0,1.0,1.0,1.0338709677419355,1.4,7.0,2.0,1.0,1.0,1.0585241730279895,1.3703703703703705
2.0,4.0,2.0,1.0,1.297082228116711,3.4444444444444446,20.0,3.0,1.0,1.0,1.0379008746355685,1.8,6.0,1.0,1.0,1.0,1.110062893081761,1.2222222222222223
3.0,6.0,2.0,0.9426844518549397,1.5247524752475248,11.0,21.0,4.0,1.0,1.0059055118110236,1.0707070707070707,2.6666666666666665,3.0,1.0,1.0,1.001850994909764,1.3225806451612905,0.6666666666666666
8.0,4.0,1.0,1.0527522935779816,1.5,14.0,14.0,5.0,1.0,1.0571428571428572,2.0,8.0,3.0,1.0,2.0,1.0944490472245236,0.9655172413793104,4.0
2.0,1.0,1.0,1.053191489361702,3.6666666666666665,19.0,6.0,1.0,1.0,1.0611111111111111,3.0,6.0,3.0,1.0,1.0,1.115264797507788,1.5555555555555556,1.0
4.0,3.0,0.9362402303578774,1.623762376237624,10.0,24.0,2.0,2.0,1.0126169240809224,1.1414141414141414,4.333333333333333,9.0,1.0,1.0,1.001367053998633,1.0786516853932584,3.333333333333333,2.0
3.0,2.0,0.9230769230769232,2.2333333333333334,12.5,16.0,1.0,1.0,0.9930286599535244,1.5384615384615383,11.0,2.0,2.0,1.0,1.027027027027027,1.1851851851851851,2.5,1.0
2.0,1.0,1.0775401069518715,4.0,15.0,8.0,4.0,2.0,1.0313390313390314,1.8571428571428568,7.0,2.0,1.0,1.0,1.1437125748502994,1.0,2.0,1.0
3.0,0.838734869191722,1.2710280373831775,8.0,27.0,8.0,1.0,1.0197424892703864,1.2916666666666667,5.5,2.0,1.0,1.0,0.9836956521739132,1.108695652173913,3.333333333333333,1.0,1.0
2.0,0.8975438596491228,0.8823529411764706,20.0,14.0,5.0,2.0,1.0133437990580847,1.206896551724138,8.0,5.0,1.0,1.0,1.0106382978723405,1.1923076923076923,7.0,2.0,1.0
1.0,0.9798994974874372,1.2,17.0,13.0,2.0,1.0,1.076056338028169,2.0,5.0,2.0,3.0,1.0,1.1291291291291292,3.125,2.0,2.0,1.0
0.848412933847523,1.072072072072072,6.666666666666667,15.0,10.0,1.0,0.9980761008978196,1.136842105263158,4.0,4.0,2.0,1.0,0.9970360237118104,1.2717391304347827,2.333333333333333,2.0,1.0,1.0
0.8494394020288307,1.2580645161290325,12.0,18.0,4.0,1.0,1.0372623574144486,1.3,9.0,7.0,1.0,1.0,1.0838815789473684,2.0,7.0,1.0,1.0,1.0
1.0232558139534884,2.1818181818181817,7.0,12.0,2.0,1.0,1.1740331491712708,1.6363636363636365,7.0,2.0,2.0,1.0,1.090643274853801,2.111111111111111,2.0,1.0,1.0,1.0
