0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0.6494214955827687,1.052536231884058,1.6923076923076923,5.0,3.0,2.0,0.9896838760167904,1.1099050203527816,1.3125,4.0,2.0,2.0,0.9933696879429216,1.1197846567967698,1.6,3.0,1.0,1.0
0.63732807006723,1.0425531914893618,2.8,4.0,2.0,1.0,1.042026744291822,1.4307692307692308,4.0,1.0,1.0,1.0,0.9952060477551395,1.1293532338308458,1.5,1.0,1.0,1.0
0.635346234553509,1.0657894736842106,9.0,2.0,1.0,1.0,1.082267542343588,1.2641509433962264,6.0,3.0,1.0,1.0,1.0351063829787237,1.44,3.0,1.0,1.0,1.0
0.7131367292225201,1.0,8.0,3.0,1.0,1.0072233800682076,0.9986842105263158,2.571428571428572,2.0,1.0,1.0,0.9872353673723536,1.0355263157894736,1.1428571428571428,6.0,1.0,1.0,0.992374939290918
0.7107142857142857,2.8,3.0,2.0,1.0,1.0347040216900136,1.015384615384615,3.25,3.0,1.0,1.0,1.003198391665905,1.1614583333333333,1.75,2.0,1.0,1.0,1.012646542970553
0.8666666666666667,4.0,3.0,1.0,1.0,1.0854408749145592,1.3454545454545457,6.5,3.0,1.0,1.0,1.0136506825341267,1.3,2.5,6.0,1.0,1.0,1.0710951526032315
1.238095238095238,7.0,5.0,2.0,1.0059132409290883,1.1096605744125327,2.769230769230769,11.0,1.0,1.0,1.0142580321044952,1.0697050938337802,2.2142857142857144,4.0,2.0,1.0,0.9912414410490916,1.0775510204081633
1.1666666666666667,5.0,1.0,1.0,1.0597880242775617,1.346938775510204,3.0,3.0,1.0,1.0,1.0133102379432948,1.2613065326633166,2.5,1.0,1.0,1.0,1.0190783410138249,1.288659793814433
2.5,5.0,1.0,1.0,1.184820801124385,2.019607843137255,11.0,3.0,1.0,1.0,1.0557699052963871,1.0943396226415094,5.0,1.0,1.0,1.0,1.0782918149466192,1.3125
5.0,2.0,1.0,0.9890911650166564,1.152,2.8666666666666667,11.0,1.0,1.0,0.9910097314874592,1.0523560209424083,1.3125,1.0,1.0,1.0,1.0113614434581242,1.0778688524590163,1.0
6.0,1.0,1.0,1.0398775767395805,1.2666666666666666,10.0,3.0,2.0,1.0,1.0321988808366205,1.2606382978723405,3.0,2.0,1.0,1.0,1.0212884633262065,1.3036649214659686,1.5
1.0,1.0,1.0,1.1524956970740103,1.6296296296296295,11.5,4.0,1.0,1.0,1.0802792321116927,1.4,4.0,1.0,1.0,1.0,1.05219878441187,0.8928571428571429,1.0
2.0,1.0,0.9554448260848531,1.1760752688172045,3.4615384615384617,9.0,3.0,1.0,0.9967692124955458,1.0509383378016086,1.6153846153846154,4.0,1.0,1.0,1.0005318763145807,1.0123796423658873,1.6,2.0
1.0,1.0,0.9595884697376958,1.4484536082474226,5.75,7.0,2.0,1.0,1.0223703433162892,1.4326923076923077,3.25,1.0,1.0,2.0,1.0270120259019426,1.441025641025641,1.25,1.0
1.0,1.0,1.0602925437031752,2.1296296296296298,12.5,3.0,1.0,1.0,1.0724789915966386,1.4,3.0,1.0,1.0,1.0,1.0768685795253277,1.511111111111111,4.0,1.0
2.0,0.9299822677568712,1.0533515731874146,4.6923076923076925,10.0,2.0,1.0,1.0169749417526508,1.09375,2.7,3.0,3.0,1.0,0.9875384911470362,1.0571428571428572,1.0,2.0,1.0
1.0,0.947408391873932,0.958974358974359,9.75,5.0,1.0,1.0,1.0153075170842825,1.1725888324873095,4.0,3.0,1.0,1.0,1.0096569484043043,1.3736842105263158,2.0,1.0,1.0
1.0,1.0516381766381766,1.326530612244898,16.5,6.0,2.0,1.0,1.0290311297656525,1.872340425531915,5.5,1.0,2.0,1.0,1.0063291139240509,1.5192307692307692,7.0,1.0,1.0
0.9058142205597663,1.0837837837837838,2.0,26.0,2.0,1.0,0.9954944273179984,1.1093117408906883,2.071428571428572,5.0,1.0,1.0,1.0109768427133985,1.0630026809651474,1.6666666666666667,1.0,1.0,2.0
0.901727520091122,1.1216931216931216,2.6,9.0,2.0,1.0,1.0275830678197542,1.113861386138614,3.2,4.0,1.0,1.0,1.0093870789618995,1.9896907216494848,2.0,1.0,1.0,1.0
0.929496402877698,1.0714285714285714,5.5,2.0,2.0,1.0,1.0669001751313485,1.5510204081632653,5.5,2.0,2.0,1.0,1.0807651434643997,1.2115384615384617,7.0,1.0,1.0,1.0
