size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
3,"[63611, 63260, 62835, 63159, 62933, 63201, 63371, 62969, 63380, 63121]","[58773, 58388, 57898, 58802, 58550, 58313, 58605, 57867, 58483, 58474]","[36702, 36679, 36812, 36168, 36390, 36161, 36541, 36664, 36660, 36781]","[38118, 38345, 38437, 38428, 38684, 38123, 38051, 38297, 38378, 38492]","[39858, 39803, 39401, 40041, 39823, 39894, 40071, 39920, 40273, 39666]","[39901, 39493, 40012, 39741, 39359, 39866, 39531, 39625, 39476, 39745]","[39716, 39455, 39717, 39466, 39304, 39764, 39486, 39598, 39601, 39537]","[39834, 39424, 39450, 39775, 39536, 39378, 39669, 39785, 39668, 38961]","[39180, 39419, 39382, 39280, 39379, 39427, 39756, 39347, 39648, 39457]","[39556, 39528, 39253, 39815, 39546, 39066, 39607, 39514, 39337, 39204]","[39266, 39719, 39328, 39408, 39591, 39231, 39252, 39327, 39453, 39274]","[39230, 39251, 39413, 39391, 39185, 39164, 39357, 39242, 39490, 39037]","[39316, 39370, 39070, 39384, 39338, 39611, 39195, 39456, 39334, 39158]","[39119, 39222, 39245, 38866, 39295, 39411, 39293, 39253, 39553, 39266]","[39398, 38932, 39249, 39099, 39402, 39115, 39695, 39204, 39523, 39222]","[38928, 39291, 38964, 39029, 39413, 39484, 39126, 39369, 38986, 38865]","[38983, 39027, 39393, 39114, 39699, 39206, 39163, 39100, 39378, 38986]","[39363, 39066, 39540, 39469, 39230, 39080, 39014, 38878, 39065, 39269]","[39003, 39186, 39089, 38988, 38859, 39364, 38952, 38869, 39166, 39205]","[39068, 39422, 38823, 39079, 38911, 39350, 39283, 38598, 39026, 39168]","[38881, 38882, 39074, 39204, 39158, 39178, 38981, 39203, 38600, 38939]"
4,"[16916, 16800, 16713, 16889, 16702, 16847, 16768, 17061, 16953, 16904]","[15214, 15431, 15538, 15575, 15499, 15452, 15469, 15507, 15466, 15540]","[9528, 9862, 9573, 9756, 9632, 9642, 9465, 9851, 9789, 9502]","[10046, 10291, 10070, 10135, 10240, 10145, 10013, 10220, 10148, 10045]","[10503, 10418, 10773, 10511, 10602, 10576, 10447, 10451, 10616, 10678]","[10532, 10369, 10716, 10584, 10535, 10363, 10663, 10372, 10617, 10579]","[10420, 10472, 10453, 10310, 10715, 10552, 10350, 10441, 10373, 10425]","[10378, 10549, 10394, 10413, 10465, 10380, 10449, 10341, 10499, 10465]","[10544, 10215, 10250, 10449, 10436, 10581, 10331, 10614, 10600, 10490]","[10613, 10501, 10553, 10475, 10408, 10440, 10636, 10724, 10419, 10339]","[10388, 10345, 10392, 10408, 10452, 10518, 10287, 10513, 10532, 10358]","[10174, 10382, 10494, 10229, 10506, 10363, 10301, 10539, 10378, 10424]","[10555, 10564, 10479, 10361, 10392, 10403, 10389, 10315, 10347, 10493]","[10439, 10297, 10709, 10419, 10426, 10352, 10256, 10247, 10388, 10401]","[10459, 10404, 10382, 10402, 10323, 10481, 10278, 10335, 10344, 10629]","[10477, 10442, 10293, 10278, 10533, 10389, 10303, 10305, 10362, 10584]","[10492, 10397, 10392, 10262, 10393, 10406, 10441, 10300, 10223, 10381]","[10403, 10359, 10258, 10329, 10294, 10335, 10461, 10227, 10325, 10224]","[10403, 10185, 10381, 10349, 10455, 10298, 10314, 10210, 10546, 10224]","[10333, 10452, 10385, 10322, 10405, 10228, 10275, 10395, 10306, 10301]","[10424, 10479, 10284, 10312, 10482, 10319, 10285, 10202, 10160, 10479]"
5,"[4504, 4418, 4409, 4348, 4576, 4399, 4510, 4387, 4401, 4448]","[4056, 4171, 4155, 4098, 4106, 4120, 4077, 4004, 3946, 4158]","[2485, 2514, 2621, 2504, 2667, 2543, 2585, 2533, 2536, 2577]","[2655, 2725, 2598, 2693, 2654, 2800, 2694, 2748, 2611, 2678]","[2803, 2830, 2794, 2797, 2725, 2742, 2788, 2850, 2844, 2757]","[2848, 2720, 2738, 2810, 2742, 2722, 2813, 2894, 2796, 2824]","[2717, 2657, 2814, 2767, 2792, 2787, 2680, 2796, 2794, 2742]","[2766, 2790, 2794, 2660, 2789, 2673, 2809, 2780, 2761, 2786]","[2794, 2809, 2698, 2682, 2802, 2763, 2754, 2735, 2778, 2772]","[2796, 2731, 2789, 2723, 2723, 2738, 2808, 2856, 2790, 2781]","[2782, 2718, 2829, 2763, 2702, 2805, 2697, 2730, 2804, 2742]","[2806, 2723, 2714, 2795, 2842, 2652, 2757, 2805, 2795, 2781]","[2713, 2799, 2771, 2709, 2778, 2831, 2730, 2708, 2735, 2761]","[2789, 2743, 2692, 2804, 2761, 2692, 2793, 2753, 2770, 2724]","[2798, 2699, 2733, 2721, 2749, 2785, 2759, 2712, 2773, 2812]","[2781, 2763, 2800, 2694, 2738, 2840, 2740, 2771, 2750, 2839]","[2636, 2783, 2742, 2789, 2810, 2855, 2795, 2663, 2723, 2706]","[2723, 2701, 2660, 2742, 2861, 2761, 2681, 2783, 2783, 2660]","[2684, 2678, 2816, 2671, 2678, 2699, 2633, 2639, 2655, 2639]","[2668, 2772, 2804, 2657, 2810, 2810, 2714, 2721, 2713, 2731]","[2661, 2749, 2703, 2738, 2722, 2729, 2681, 2752, 2790, 2707]"
6,"[1116, 1137, 1142, 1151, 1187, 1221, 1150, 1135, 1243, 1115]","[1100, 1093, 1090, 1118, 1070, 1117, 1032, 1112, 1052, 1060]","[671, 658, 683, 682, 653, 696, 698, 691, 695, 669]","[716, 729, 685, 670, 683, 723, 710, 713, 709, 729]","[743, 718, 754, 717, 699, 734, 746, 726, 753, 784]","[746, 686, 695, 754, 716, 706, 694, 767, 751, 741]","[753, 749, 737, 750, 694, 732, 765, 670, 712, 727]","[721, 734, 740, 741, 727, 773, 746, 705, 673, 738]","[747, 727, 691, 767, 694, 725, 726, 705, 733, 715]","[698, 708, 717, 700, 719, 728, 768, 725, 754, 731]","[744, 727, 738, 697, 735, 709, 718, 762, 737, 763]","[717, 732, 753, 737, 729, 692, 747, 757, 715, 726]","[716, 732, 708, 751, 736, 687, 690, 692, 729, 725]","[757, 736, 766, 734, 696, 693, 725, 712, 736, 729]","[702, 758, 743, 743, 722, 700, 711, 704, 698, 770]","[698, 719, 749, 735, 653, 699, 761, 685, 767, 755]","[721, 681, 750, 717, 767, 726, 733, 747, 693, 730]","[756, 689, 738, 705, 698, 740, 725, 730, 731, 712]","[721, 702, 712, 740, 717, 733, 676, 759, 690, 675]","[705, 690, 726, 726, 754, 673, 730, 753, 710, 683]","[754, 723, 705, 746, 715, 767, 656, 726, 735, 701]"
7,"[288, 305, 301, 325, 337, 309, 325, 305, 313, 310]","[282, 293, 300, 257, 300, 307, 294, 254, 301, 289]","[174, 184, 186, 184, 184, 169, 184, 195, 176, 164]","[189, 192, 190, 191, 209, 194, 183, 170, 189, 188]","[204, 198, 197, 217, 195, 210, 205, 231, 186, 186]","[161, 212, 216, 189, 167, 233, 192, 212, 189, 211]","[206, 206, 197, 180, 207, 189, 188, 162, 182, 204]","[145, 198, 205, 170, 189, 186, 218, 225, 194, 175]","[194, 193, 203, 206, 232, 203, 171, 206, 202, 176]","[210, 204, 188, 205, 195, 182, 173, 167, 215, 211]","[209, 174, 210, 177, 202, 216, 203, 163, 179, 186]","[163, 197, 191, 201, 198, 188, 190, 188, 181, 192]","[200, 222, 198, 202, 176, 181, 217, 189, 185, 174]","[182, 193, 200, 183, 193, 179, 205, 208, 198, 196]","[201, 214, 193, 210, 201, 177, 193, 181, 213, 195]","[198, 182, 211, 194, 181, 212, 181, 199, 203, 178]","[195, 180, 202, 192, 183, 189, 192, 169, 200, 174]","[178, 186, 192, 193, 186, 193, 181, 208, 189, 179]","[204, 193, 193, 215, 181, 191, 208, 203, 193, 192]","[190, 211, 185, 198, 177, 174, 172, 200, 183, 179]","[178, 177, 204, 193, 200, 174, 197, 190, 198, 225]"
8,"[76, 83, 87, 85, 84, 81, 74, 82, 83, 81]","[68, 72, 65, 77, 76, 76, 87, 86, 74, 94]","[44, 60, 59, 47, 48, 65, 49, 43, 51, 59]","[55, 50, 48, 44, 44, 44, 44, 56, 43, 45]","[51, 61, 45, 50, 49, 51, 45, 56, 53, 54]","[42, 50, 55, 52, 53, 58, 59, 47, 43, 41]","[39, 60, 56, 54, 52, 52, 58, 52, 58, 60]","[63, 53, 58, 51, 49, 69, 52, 57, 40, 53]","[50, 50, 41, 46, 57, 61, 44, 55, 54, 48]","[46, 63, 56, 63, 54, 52, 51, 58, 60, 48]","[42, 55, 51, 53, 55, 55, 57, 46, 54, 43]","[66, 57, 50, 48, 61, 69, 45, 49, 55, 58]","[55, 48, 51, 55, 50, 57, 64, 55, 69, 48]","[56, 41, 60, 52, 54, 43, 49, 54, 45, 50]","[70, 52, 49, 56, 51, 42, 45, 45, 74, 45]","[62, 56, 58, 46, 55, 55, 37, 56, 44, 67]","[46, 52, 45, 59, 63, 44, 55, 68, 40, 40]","[58, 51, 49, 56, 41, 52, 56, 48, 51, 54]","[56, 38, 49, 53, 53, 67, 57, 53, 40, 53]","[61, 57, 66, 50, 36, 57, 64, 34, 38, 55]","[64, 54, 52, 51, 42, 54, 43, 44, 50, 43]"
9,"[17, 21, 22, 17, 21, 26, 12, 21, 25, 22]","[16, 21, 14, 20, 27, 25, 22, 19, 28, 21]","[20, 12, 17, 13, 8, 9, 8, 7, 13, 13]","[13, 18, 18, 15, 19, 10, 10, 10, 14, 10]","[19, 8, 9, 16, 10, 11, 12, 14, 16, 12]","[15, 10, 14, 14, 14, 19, 16, 18, 15, 10]","[9, 16, 17, 9, 15, 16, 18, 12, 14, 6]","[17, 16, 14, 13, 14, 16, 11, 19, 13, 10]","[11, 11, 12, 16, 13, 7, 12, 13, 18, 15]","[10, 15, 9, 19, 11, 15, 17, 15, 14, 11]","[12, 23, 16, 13, 11, 12, 7, 8, 11, 20]","[12, 11, 13, 10, 10, 15, 13, 9, 20, 14]","[15, 10, 13, 10, 8, 15, 9, 17, 17, 14]","[19, 15, 9, 16, 12, 10, 13, 15, 12, 15]","[14, 16, 20, 11, 14, 9, 15, 13, 20, 16]","[10, 9, 11, 12, 17, 12, 22, 10, 17, 16]","[21, 10, 15, 8, 17, 12, 15, 17, 14, 19]","[16, 19, 13, 16, 16, 14, 14, 13, 6, 13]","[10, 20, 16, 17, 9, 22, 12, 19, 15, 14]","[19, 12, 10, 14, 17, 20, 16, 15, 15, 14]","[9, 16, 13, 12, 12, 13, 12, 9, 18, 13]"
10,"[5, 4, 13, 7, 6, 7, 4, 5, 3, 5]","[6, 9, 6, 5, 6, 4, 8, 3, 4, 9]","[4, 6, 3, 4, 4, 1, 4, 2, 4, 4]","[1, 1, 4, 7, 2, 1, 3, 5, 3, 5]","[1, 1, 3, 1, 3, 1, 3, 4, 7, 2]","[5, 7, 2, 3, 7, 7, 4, 7, 3, 3]","[4, 2, 4, 3, 1, 4, 2, 4, 5, 4]","[5, 3, 4, 4, 6, 5, 3, 2, 3, 4]","[3, 4, 4, 2, 3, 4, 5, 2, 5, 4]","[1, 5, 2, 8, 4, 3, 3, 5, 2, 5]","[6, 3, 5, 5, 4, 3, 6, 1, 5, 6]","[6, 2, 3, 5, 6, 6, 2, 2, 3, 6]","[1, 3, 7, 5, 3, 0, 1, 2, 3, 3]","[2, 5, 1, 3, 6, 0, 2, 2, 5, 3]","[1, 2, 1, 4, 4, 3, 0, 4, 4, 5]","[3, 4, 3, 2, 3, 2, 2, 4, 3, 3]","[4, 2, 8, 4, 4, 3, 5, 2, 3, 2]","[4, 2, 3, 3, 2, 3, 6, 7, 6, 4]","[5, 1, 5, 5, 8, 4, 2, 1, 3, 2]","[1, 9, 5, 1, 2, 2, 4, 3, 4, 4]","[5, 2, 2, 2, 2, 5, 2, 6, 2, 4]"
11,"[3, 1, 2, 1, 1, 0, 2, 3, 1, 1]","[0, 0, 3, 1, 1, 1, 0, 0, 0, 0]","[1, 1, 0, 2, 1, 2, 0, 1, 0, 0]","[2, 2, 0, 0, 0, 2, 0, 0, 0, 0]","[1, 0, 1, 1, 2, 3, 1, 0, 0, 0]","[1, 3, 1, 0, 1, 1, 5, 0, 0, 2]","[2, 6, 0, 0, 0, 2, 0, 1, 0, 0]","[1, 3, 2, 4, 1, 3, 2, 2, 1, 0]","[0, 0, 0, 1, 0, 1, 0, 1, 0, 1]","[1, 1, 0, 0, 1, 1, 0, 0, 1, 1]","[1, 1, 1, 0, 0, 1, 0, 2, 1, 0]","[0, 1, 0, 1, 1, 0, 1, 0, 4, 1]","[0, 1, 0, 0, 0, 2, 1, 3, 2, 1]","[1, 0, 1, 1, 0, 1, 1, 1, 0, 1]","[1, 1, 2, 1, 0, 1, 0, 2, 2, 3]","[0, 0, 0, 0, 1, 2, 0, 2, 1, 2]","[1, 1, 1, 0, 0, 1, 0, 0, 1, 1]","[0, 2, 1, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 0, 1, 0, 1, 0, 1, 1, 0]","[0, 2, 0, 2, 1, 6, 0, 1, 1, 1]","[2, 1, 1, 1, 2, 1, 0, 1, 1, 0]"
12,"[0, 0, 1, 0, 1, 0, 0, 1, 0, 0]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 3]","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0]","[1, 0, 0, 1, 1, 0, 0, 0, 0, 0]","[1, 1, 1, 0, 1, 0, 1, 2, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 2, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 1, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 1, 0, 0, 1, 0, 1]","[1, 2, 1, 0, 2, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 1, 1, 0, 0, 0, 0, 0]"
