size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
3,"[53774, 53751, 53660, 53717, 53853, 53617, 53865, 53844, 53896, 53887]","[52574, 52871, 52704, 52951, 52839, 52738, 52875, 53011, 52557, 52690]","[34664, 34557, 34667, 34473, 34753, 34687, 34683, 34553, 34805, 35040]","[35321, 35610, 35384, 35323, 35185, 35348, 34970, 35709, 35433, 35052]","[36937, 36373, 36709, 36795, 36412, 36934, 36951, 36606, 36621, 36636]","[36263, 36080, 35797, 36400, 36502, 36776, 36298, 36561, 36350, 36323]","[36276, 36148, 36420, 36377, 36380, 36038, 36269, 36660, 36646, 36309]","[36347, 36294, 36421, 36076, 36171, 35913, 36455, 36171, 36271, 36359]","[36305, 36439, 36335, 36237, 36297, 36179, 35982, 36451, 36324, 36302]","[36417, 36217, 36005, 36089, 36142, 36527, 36141, 36293, 36434, 36352]","[36458, 35969, 36302, 36462, 36198, 35923, 36627, 36001, 36220, 36591]","[36352, 36265, 36120, 36459, 36108, 35969, 36310, 35953, 35834, 36027]","[36173, 36114, 35978, 35907, 35818, 36408, 36408, 36132, 36145, 36195]","[36203, 36217, 35981, 36132, 35954, 36090, 35975, 36105, 36229, 36193]","[36107, 36230, 35870, 35838, 36124, 36061, 36048, 35746, 35831, 36145]","[36006, 36238, 36186, 35942, 36061, 35849, 35999, 36111, 35757, 35910]","[35967, 36134, 36030, 36193, 36096, 35625, 35968, 35957, 36120, 35883]","[36060, 35988, 36008, 35683, 35768, 36080, 35603, 35909, 35954, 35949]","[36022, 35995, 35421, 35751, 35798, 35806, 35933, 36123, 36019, 35944]","[35893, 35725, 35852, 35893, 35968, 35612, 35749, 36040, 35846, 36243]","[35623, 36002, 35629, 35611, 35714, 35869, 35691, 35914, 35802, 35832]"
4,"[14058, 13927, 14176, 13964, 14093, 14129, 14021, 14036, 14004, 14032]","[13607, 13747, 13595, 13623, 13663, 13916, 13697, 13744, 13627, 13702]","[9024, 9120, 8942, 9001, 8936, 8906, 9021, 9055, 8939, 9179]","[9112, 9303, 9287, 9199, 9317, 9172, 9131, 9348, 9221, 9206]","[9552, 9532, 9423, 9610, 9602, 9675, 9696, 9722, 9445, 9520]","[9353, 9479, 9638, 9442, 9567, 9488, 9469, 9340, 9466, 9468]","[9344, 9605, 9596, 9457, 9546, 9406, 9562, 9440, 9529, 9524]","[9359, 9452, 9447, 9370, 9457, 9503, 9563, 9374, 9408, 9414]","[9571, 9458, 9527, 9503, 9385, 9383, 9535, 9349, 9423, 9547]","[9512, 9389, 9547, 9409, 9379, 9447, 9673, 9521, 9482, 9367]","[9494, 9426, 9349, 9489, 9478, 9400, 9559, 9607, 9487, 9340]","[9350, 9417, 9366, 9420, 9563, 9384, 9582, 9407, 9317, 9546]","[9506, 9236, 9637, 9712, 9328, 9469, 9558, 9497, 9203, 9489]","[9632, 9461, 9382, 9267, 9488, 9393, 9483, 9401, 9517, 9462]","[9403, 9509, 9478, 9459, 9283, 9380, 9290, 9463, 9323, 9342]","[9389, 9397, 9472, 9359, 9280, 9558, 9496, 9565, 9423, 9185]","[9276, 9389, 9516, 9343, 9364, 9341, 9409, 9404, 9453, 9577]","[9537, 9204, 9344, 9301, 9415, 9354, 9442, 9365, 9295, 9412]","[9395, 9326, 9261, 9307, 9324, 9296, 9235, 9411, 9281, 9608]","[9462, 9485, 9280, 9438, 9425, 9348, 9337, 9654, 9215, 9406]","[9204, 9372, 9211, 9537, 9597, 9266, 9400, 9259, 9442, 9422]"
5,"[3721, 3701, 3599, 3713, 3768, 3762, 3694, 3708, 3550, 3732]","[3605, 3508, 3526, 3597, 3522, 3611, 3566, 3594, 3614, 3647]","[2392, 2351, 2393, 2437, 2359, 2393, 2382, 2435, 2447, 2396]","[2383, 2347, 2400, 2498, 2340, 2308, 2353, 2399, 2472, 2445]","[2544, 2487, 2457, 2507, 2403, 2431, 2494, 2460, 2531, 2504]","[2441, 2438, 2419, 2365, 2429, 2468, 2462, 2496, 2425, 2501]","[2564, 2547, 2415, 2502, 2504, 2521, 2553, 2490, 2481, 2484]","[2556, 2473, 2455, 2499, 2483, 2524, 2520, 2427, 2556, 2340]","[2469, 2340, 2604, 2454, 2446, 2437, 2396, 2478, 2485, 2376]","[2463, 2496, 2441, 2468, 2369, 2475, 2432, 2413, 2507, 2529]","[2406, 2544, 2500, 2444, 2451, 2434, 2545, 2462, 2437, 2525]","[2494, 2500, 2385, 2516, 2397, 2409, 2525, 2466, 2447, 2526]","[2467, 2418, 2427, 2452, 2420, 2520, 2418, 2513, 2415, 2490]","[2471, 2535, 2522, 2452, 2406, 2459, 2479, 2456, 2502, 2440]","[2433, 2488, 2426, 2377, 2449, 2421, 2446, 2383, 2447, 2432]","[2359, 2403, 2488, 2459, 2501, 2445, 2444, 2345, 2573, 2461]","[2351, 2482, 2569, 2472, 2482, 2459, 2477, 2454, 2356, 2372]","[2484, 2475, 2411, 2408, 2510, 2418, 2447, 2452, 2451, 2435]","[2365, 2439, 2455, 2345, 2377, 2414, 2422, 2564, 2395, 2414]","[2518, 2478, 2342, 2368, 2448, 2426, 2391, 2424, 2369, 2452]","[2433, 2471, 2343, 2423, 2570, 2401, 2438, 2398, 2403, 2463]"
6,"[948, 875, 962, 966, 968, 948, 990, 938, 908, 1012]","[1000, 971, 896, 897, 950, 951, 967, 965, 981, 920]","[620, 581, 643, 606, 567, 657, 624, 629, 609, 660]","[587, 648, 637, 621, 641, 613, 601, 630, 581, 598]","[685, 596, 644, 591, 640, 655, 628, 640, 622, 646]","[626, 638, 649, 656, 647, 686, 678, 660, 618, 628]","[651, 651, 637, 630, 626, 652, 681, 639, 677, 639]","[603, 685, 668, 625, 600, 657, 607, 626, 678, 678]","[619, 646, 604, 623, 657, 662, 632, 637, 661, 598]","[598, 641, 654, 644, 653, 666, 594, 608, 711, 666]","[638, 616, 611, 627, 608, 663, 633, 612, 685, 637]","[691, 591, 672, 634, 640, 646, 627, 667, 649, 586]","[639, 643, 657, 645, 652, 673, 680, 678, 659, 698]","[662, 625, 627, 674, 629, 663, 648, 691, 607, 624]","[665, 653, 653, 667, 642, 676, 627, 668, 670, 628]","[621, 619, 628, 601, 658, 657, 655, 654, 631, 670]","[651, 642, 607, 665, 646, 623, 611, 626, 640, 674]","[700, 635, 636, 610, 646, 674, 598, 620, 627, 648]","[601, 615, 647, 629, 631, 644, 631, 595, 650, 614]","[635, 670, 660, 602, 630, 634, 583, 691, 632, 606]","[673, 617, 658, 582, 655, 637, 608, 627, 623, 647]"
7,"[243, 236, 262, 250, 240, 232, 233, 242, 286, 266]","[268, 285, 230, 252, 228, 248, 270, 228, 246, 229]","[180, 158, 164, 143, 147, 172, 158, 176, 151, 156]","[184, 156, 175, 171, 159, 158, 165, 164, 156, 156]","[166, 196, 158, 178, 161, 175, 154, 171, 158, 170]","[177, 162, 166, 165, 155, 197, 162, 182, 167, 155]","[182, 155, 201, 156, 172, 190, 163, 155, 159, 167]","[162, 173, 174, 157, 150, 150, 185, 193, 181, 157]","[158, 149, 165, 181, 166, 163, 183, 165, 173, 178]","[182, 159, 167, 170, 178, 150, 184, 156, 178, 151]","[175, 162, 185, 190, 164, 149, 163, 157, 175, 168]","[194, 144, 163, 178, 179, 183, 169, 176, 181, 192]","[141, 151, 163, 175, 153, 157, 145, 153, 196, 156]","[152, 177, 163, 172, 172, 170, 185, 145, 152, 182]","[156, 143, 173, 162, 174, 195, 156, 168, 144, 159]","[168, 164, 174, 176, 178, 177, 165, 155, 177, 167]","[147, 166, 170, 183, 175, 164, 161, 159, 172, 160]","[161, 160, 141, 166, 159, 178, 192, 147, 168, 176]","[171, 154, 197, 177, 169, 168, 174, 152, 186, 150]","[171, 154, 163, 157, 201, 204, 158, 150, 167, 161]","[174, 175, 170, 145, 170, 161, 139, 176, 147, 163]"
8,"[75, 64, 68, 62, 60, 66, 72, 77, 51, 54]","[66, 68, 53, 59, 63, 69, 58, 59, 77, 64]","[54, 68, 55, 34, 45, 52, 44, 36, 49, 33]","[39, 32, 38, 40, 44, 45, 35, 51, 45, 40]","[34, 47, 49, 47, 38, 53, 53, 52, 29, 36]","[44, 38, 37, 49, 51, 45, 37, 44, 50, 50]","[32, 44, 43, 43, 35, 47, 50, 52, 26, 42]","[51, 42, 54, 50, 44, 41, 29, 47, 42, 43]","[40, 46, 41, 43, 36, 56, 39, 41, 51, 44]","[49, 41, 42, 37, 50, 40, 48, 51, 39, 41]","[34, 41, 44, 46, 51, 37, 47, 34, 39, 41]","[49, 49, 41, 37, 51, 41, 39, 51, 39, 37]","[48, 43, 50, 32, 37, 38, 43, 33, 37, 58]","[29, 42, 50, 47, 42, 47, 42, 48, 37, 50]","[40, 43, 38, 58, 59, 38, 40, 51, 45, 37]","[35, 42, 39, 48, 44, 38, 35, 48, 47, 38]","[48, 55, 38, 40, 46, 33, 45, 46, 47, 46]","[33, 47, 35, 44, 39, 41, 48, 54, 38, 43]","[52, 51, 33, 38, 31, 35, 48, 32, 45, 35]","[56, 51, 48, 44, 47, 38, 44, 48, 58, 29]","[46, 47, 36, 42, 40, 37, 44, 37, 38, 34]"
9,"[16, 16, 15, 10, 17, 18, 23, 11, 19, 13]","[13, 19, 19, 20, 17, 22, 19, 17, 22, 14]","[13, 11, 10, 9, 9, 10, 11, 7, 11, 10]","[12, 13, 6, 10, 12, 14, 15, 14, 13, 9]","[15, 11, 12, 16, 8, 9, 7, 10, 14, 12]","[10, 11, 9, 21, 11, 10, 8, 12, 9, 13]","[4, 13, 11, 10, 11, 19, 21, 10, 12, 14]","[16, 12, 9, 8, 11, 9, 11, 8, 12, 8]","[15, 7, 10, 11, 6, 12, 11, 19, 9, 11]","[8, 16, 10, 8, 13, 19, 14, 8, 11, 16]","[7, 18, 12, 10, 12, 6, 15, 13, 15, 6]","[6, 7, 13, 8, 10, 7, 8, 14, 9, 4]","[8, 13, 12, 10, 12, 10, 13, 8, 10, 7]","[13, 13, 12, 12, 7, 8, 15, 12, 12, 14]","[13, 12, 8, 9, 8, 12, 11, 14, 8, 12]","[14, 18, 7, 6, 15, 16, 8, 12, 9, 11]","[9, 9, 13, 12, 16, 7, 8, 16, 13, 22]","[14, 16, 7, 7, 13, 7, 10, 9, 8, 11]","[7, 10, 15, 12, 14, 10, 16, 11, 16, 17]","[14, 11, 9, 15, 7, 14, 13, 12, 10, 13]","[9, 13, 11, 12, 9, 16, 7, 9, 15, 9]"
10,"[5, 3, 6, 4, 0, 7, 4, 7, 3, 4]","[2, 4, 3, 5, 6, 2, 1, 4, 4, 2]","[2, 5, 4, 4, 1, 1, 6, 2, 5, 3]","[4, 3, 4, 0, 1, 5, 4, 2, 3, 5]","[3, 5, 2, 3, 4, 2, 2, 2, 2, 1]","[4, 4, 6, 0, 2, 0, 3, 4, 3, 2]","[3, 1, 1, 2, 5, 1, 2, 2, 7, 2]","[5, 2, 3, 5, 2, 4, 1, 5, 2, 5]","[2, 1, 5, 3, 2, 3, 1, 4, 4, 3]","[2, 3, 3, 2, 3, 4, 2, 4, 6, 6]","[3, 4, 5, 3, 0, 6, 1, 5, 5, 4]","[1, 1, 2, 2, 4, 8, 2, 5, 2, 4]","[6, 4, 0, 4, 2, 3, 1, 0, 2, 4]","[4, 3, 2, 3, 4, 4, 1, 0, 11, 4]","[4, 2, 1, 1, 2, 3, 5, 2, 3, 5]","[5, 2, 1, 5, 1, 4, 3, 2, 3, 2]","[7, 2, 4, 3, 2, 3, 3, 4, 1, 3]","[4, 2, 2, 4, 6, 4, 5, 1, 2, 1]","[2, 2, 4, 4, 6, 2, 4, 2, 2, 2]","[5, 4, 0, 1, 1, 2, 0, 2, 6, 4]","[1, 1, 4, 4, 2, 3, 7, 2, 4, 5]"
11,"[0, 0, 0, 1, 0, 2, 0, 1, 1, 0]","[3, 2, 1, 0, 0, 1, 1, 0, 2, 1]","[0, 2, 1, 1, 1, 0, 0, 1, 0, 0]","[0, 2, 0, 0, 1, 2, 0, 1, 1, 2]","[2, 1, 0, 2, 0, 0, 3, 1, 0, 0]","[1, 1, 1, 1, 1, 0, 1, 1, 0, 0]","[0, 3, 2, 1, 2, 1, 0, 0, 2, 1]","[0, 0, 0, 2, 2, 1, 0, 0, 0, 0]","[0, 1, 0, 1, 1, 1, 1, 0, 0, 0]","[0, 0, 0, 2, 0, 0, 0, 0, 0, 1]","[0, 1, 1, 1, 0, 0, 0, 1, 1, 2]","[1, 1, 0, 1, 0, 0, 1, 0, 1, 1]","[0, 0, 0, 3, 2, 4, 1, 1, 1, 0]","[0, 0, 1, 1, 1, 0, 0, 0, 1, 0]","[1, 0, 0, 1, 0, 0, 1, 2, 0, 2]","[1, 3, 0, 1, 2, 1, 0, 0, 1, 1]","[1, 1, 3, 2, 1, 1, 2, 1, 3, 1]","[0, 0, 0, 0, 0, 0, 0, 2, 1, 2]","[0, 0, 0, 0, 2, 0, 0, 2, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 1, 0, 0]","[0, 4, 2, 0, 1, 2, 0, 0, 1, 0]"
12,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 1, 1, 0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 1, 1, 1, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 2, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 1, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 1, 0, 0, 0, 1, 0]","[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 1, 1, 0, 1, 0, 0]","[2, 0, 0, 0, 0, 0, 1, 2, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
