1N,2N,3N,4N,5N,6N,ratio
-0.20229655152794865,-0.12552471466048626,-0.36410483451424835,-0.2970144086812577,-0.1468141793195908,-0.19406259465980968,-0.33990600465604526
-0.35675947042512773,-0.11151101850321775,-0.4382525779380969,-0.3515063529303353,-0.1098905642097512,-0.299725424198959,-0.5977881260479443
-0.5883926129828296,-0.48713439781323037,-0.45631935200337714,-0.4827354045580826,-0.47876164428303125,-0.564004877684778,-1.0842453894418393
0.2209239116387458,0.23059137380862943,-0.09429990917410545,-0.12480502021153725,0.21335619615904905,0.22853615132598587,0.4659772198364287
-0.7086267485765585,-0.5583524955431425,-0.33975540622851025,-0.4159443772840436,-0.6115623978712363,-0.7177874742480534,-1.6124224405765477
-0.42075490360643997,-0.12764342188834998,0.17445823620498255,0.1324828686702671,-0.09124083644562295,-0.5151371808227042,-0.48297600025546106
-0.37279686093987313,-0.2932717917841076,-0.3496492098374838,-0.18365957905127944,-0.3229599100031245,-0.27312081589978376,-0.5836720036008411
-1.213751957867213,-0.5257263038386315,-0.48934160502707835,-0.43921081172363124,-0.5777026892655248,-1.1659651807866473,-1.612213721338825
-1.685389585261885,-0.4362395681334994,-0.795957937844695,-0.8079690682172633,-0.33847053693598517,-1.7752674587107404,-1.711292350184417
-0.08069792350151675,-0.3705814683881917,-0.5445665589904001,-0.5380466959023962,-0.47166572598439926,-0.06870222295619641,-0.28786702929665353
-0.615881355973505,-0.44806357206559133,-0.5301036603009044,-0.5057967131927068,-0.4104572538977367,-0.5986316874867058,-1.142573071123824
-0.008553846625634402,0.10600131248668276,-0.30179585218052796,-0.3039155259028712,0.10347384467379915,-0.07260723670316185,-0.4652841518586156
0.0390903326116553,-0.1641202552930981,-0.007667788817189949,-0.0810536135425106,-0.22334666692396685,0.09570024428035336,-0.23313110499612832
-0.2144880399529378,-0.3017380187419537,-0.13541901120464628,-0.1505625849132297,-0.3328412160249917,-0.28682771568642307,-0.6976816514206643
-0.48517099012598325,-0.48047013759404555,-0.34401609512120623,-0.3841114611630965,-0.5069921409627087,-0.49729360166106007,-1.1486454071487855
-0.29828623250569003,-0.3121482388314543,-0.08786472206408025,-0.10925512694030476,-0.16074444372615415,-0.2755285964448486,-0.6057378527027533
-0.4950054951328387,-0.3676383473258225,-0.48020193736677497,-0.38432176274247787,-0.4375298101440167,-0.5233472451502766,-0.9834931768076243
-0.8239446996770222,-0.6652075843472476,-0.5809352552084988,-0.5917187253434597,-0.6303674932352333,-0.8564386288941592,-1.6243931154326212
-0.22169412871645788,-0.1867453493385643,-0.1909536830603082,-0.21489400934795516,-0.17486627973908186,-0.1637119735163207,-0.895206758790149
-0.5747104786748771,-0.5828170519296123,-0.7117684488197804,-0.7545493537009158,-0.6207042081736074,-0.505840821142865,-1.3731731804165737
-0.22600715700812313,-0.3536617139423086,-0.7795876747574759,-0.739431899369172,-0.31025738246060464,-0.23340656328625548,-1.0369439777984653
-0.7481861505924179,-0.5288058812711771,-1.1297824213950298,-1.2553709504841128,-0.4772394438908444,-0.7219460327162294,-1.0822092625678843
-0.4973673028698715,-0.23365963250243288,-0.6103758425424974,-0.5978989010483922,-0.2388622639043225,-0.5220718773677603,-1.4895054556482887
-0.8269039724472249,-0.504556263614212,-0.7773469981262902,-0.8260887147140379,-0.6327459086491825,-0.7758073089107711,-1.282295121917568
-1.7408387922441495,-0.5496537417157641,-0.6664072459514334,-0.6896104833453571,-0.5934533661073884,-1.7347583141198228,-1.9625589017919154
-0.0879363841015863,-0.45766310750979566,-0.2096262614131502,-0.16963806040265925,-0.44352317286389353,-0.14001303477034155,-0.6600546883718532
