0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0.732893948472139,1.2986348122866893,2.642857142857143,5.0,2.0,2.0,1.0253968253968253,1.2788461538461535,2.25,3.5,2.0,1.0,1.0052102265842724,1.3145539906103287,2.5,2.0,1.0,1.0
0.7139369176341621,1.4634146341463414,4.75,3.0,1.0,1.0,1.0804816223067173,1.4383561643835616,5.5,1.0,1.0,1.0,1.007936507936508,1.627906976744186,1.4,1.0,1.0,1.0
0.7490817707326503,2.0,5.5,1.0,1.0,1.0,1.1432432432432431,2.0,5.0,3.0,1.0,1.0,1.1021941689209498,1.7818181818181815,2.0,1.0,1.0,1.0
0.8323485967503693,2.333333333333333,8.0,1.0,1.0,0.9993164730006836,1.186558516801854,3.882352941176471,1.0,1.0,1.0,0.978960396039604,1.4509803921568627,2.0,5.0,1.0,1.0,1.018219729943114
1.2702702702702702,5.166666666666667,3.0,1.0,1.0,1.0452488687782806,1.3009259259259258,3.5,1.0,1.0,1.0,1.055234375,1.7142857142857142,3.0,2.0,1.0,1.0,1.072289156626506
0.9680851063829788,8.0,2.0,1.0,1.0,1.115942028985507,2.0,9.5,3.0,1.0,1.0,1.0448877805486283,3.0,2.5,3.0,1.0,1.0,1.1689373297002723
3.0,7.0,3.0,1.0,1.0052301255230125,1.403529411764706,3.7142857142857135,11.0,1.0,1.0,1.0298793141659783,1.2710280373831775,1.0,3.0,1.0,1.0,1.0186810076422304,1.1714285714285717
2.5,5.0,1.0,1.0,1.106060606060606,1.4044444444444444,4.5,3.0,1.0,1.0,1.0033944331296674,1.6551724137931034,3.5,1.0,1.0,1.0,1.0674016733130034,1.206140350877193
4.0,3.0,1.0,1.0,1.3432835820895523,2.446428571428572,10.0,3.0,1.0,1.0,1.0904645476772616,2.5,5.0,1.0,1.0,1.0,1.0917682926829269,1.4482758620689655
5.0,2.0,1.0,0.9793290410030498,1.3445086705202312,5.166666666666667,9.0,1.0,1.0,0.9893048128342246,1.4705882352941178,2.6875,1.0,1.0,1.0,1.0338300198404664,1.1757857974388823,1.3333333333333333
5.0,1.0,1.0,1.1098364467870707,2.3793103448275863,12.666666666666666,3.0,1.0,1.0,1.0604026845637584,1.7142857142857142,3.5,2.0,1.0,1.0,1.0447552447552448,1.2976744186046512,2.0
1.0,1.0,1.0,1.276756104914079,2.034482758620689,12.0,3.0,1.0,1.0,1.146452395391146,1.435483870967742,5.0,1.0,1.0,1.0,1.1250379362670713,1.5,1.0
2.0,1.0,0.9385474860335196,1.395784543325527,5.4375,9.0,3.0,1.0,1.0235646269436298,1.160377358490566,3.6,3.0,1.0,1.0,1.0280305788132509,1.0914419695193436,1.5714285714285714,2.0
1.0,1.0,1.0124458874458877,2.3771929824561404,9.5,7.0,2.0,1.0,1.0722572607646188,1.6,3.6,1.0,1.0,1.0,1.0467997247075018,1.4,1.0,1.0
1.0,1.0,1.1274947870122134,3.1384615384615384,19.0,3.0,1.0,1.0,1.1064935064935064,2.4074074074074074,3.5,1.0,1.0,1.0,1.1641701617735172,1.540983606557377,2.0,1.0
2.0,0.928950159066808,1.4814814814814814,7.625,9.0,1.0,1.0,1.049266543080519,1.228235294117647,3.6,3.0,3.0,1.0,1.011764705882353,1.1700118063754428,2.0,2.0,1.0
1.0,0.9826801105870874,1.6363636363636365,14.0,5.0,1.0,1.0,1.0327868852459017,1.3256880733944951,5.333333333333333,3.0,1.0,1.0,1.0702150872817957,1.8018018018018016,4.0,1.0,1.0
1.0,1.2307692307692308,2.267857142857143,26.0,6.0,1.0,1.0,1.116781747223056,1.9193548387096773,8.0,1.0,1.0,1.0,1.1596130592503022,2.0357142857142856,6.0,1.0,1.0
0.9084146341463416,1.3063063063063065,3.1538461538461537,25.0,1.0,1.0,1.0158586407454366,1.25,2.6666666666666665,4.0,1.0,1.0,1.0300125136237033,1.1666666666666667,2.0,1.0,1.0,1.0
0.9651000465332712,1.25,9.4,9.0,2.0,1.0,1.0731707317073171,1.40625,5.75,1.0,1.0,1.0,1.0423786739576213,1.4814814814814814,2.2,1.0,1.0,1.0
1.0967670991862766,1.7796610169491525,10.0,2.0,1.0,1.0,1.1213213213213211,1.637931034482759,9.0,1.0,2.0,1.0,1.074742268041237,1.819672131147541,2.0,1.0,1.0,1.0
