size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
3,"[7053, 7076, 7131, 7085, 6943, 6947, 6979, 7073, 6970, 7043]","[6383, 6397, 6605, 6457, 6608, 6515, 6460, 6420, 6483, 6440]","[4627, 4770, 4607, 4514, 4594, 4676, 4699, 4516, 4600, 4675]","[4792, 4707, 4787, 4742, 4760, 4856, 4746, 4744, 4690, 4622]","[4650, 4662, 4596, 4645, 4626, 4790, 4614, 4767, 4697, 4650]","[4728, 4681, 4725, 4651, 4675, 4750, 4660, 4547, 4684, 4649]","[4690, 4868, 4656, 4681, 4591, 4585, 4623, 4703, 4658, 4605]","[4541, 4659, 4494, 4400, 4536, 4672, 4610, 4656, 4462, 4688]","[4605, 4530, 4684, 4643, 4623, 4639, 4562, 4568, 4637, 4598]","[4586, 4568, 4510, 4625, 4401, 4475, 4557, 4629, 4559, 4559]","[4461, 4586, 4557, 4579, 4549, 4571, 4513, 4429, 4617, 4492]","[4521, 4519, 4600, 4541, 4535, 4484, 4442, 4595, 4599, 4480]","[4576, 4369, 4536, 4487, 4440, 4561, 4437, 4466, 4537, 4244]","[4435, 4368, 4473, 4411, 4450, 4438, 4454, 4492, 4374, 4479]","[4444, 4462, 4333, 4509, 4433, 4562, 4472, 4388, 4483, 4424]","[4432, 4488, 4223, 4445, 4357, 4364, 4323, 4428, 4413, 4318]","[4376, 4391, 4322, 4384, 4478, 4228, 4367, 4462, 4370, 4443]","[4309, 4286, 4246, 4347, 4281, 4320, 4420, 4306, 4341, 4430]","[4244, 4311, 4397, 4390, 4292, 4432, 4320, 4308, 4302, 4346]","[4417, 4224, 4280, 4309, 4262, 4216, 4377, 4253, 4410, 4287]","[4213, 4315, 4218, 4215, 4368, 4252, 4312, 4134, 4226, 4319]"
4,"[1863, 1941, 1924, 1929, 1928, 1891, 1901, 1901, 1927, 1890]","[1793, 1847, 1748, 1790, 1694, 1798, 1800, 1791, 1775, 1749]","[1192, 1215, 1252, 1300, 1288, 1187, 1313, 1169, 1197, 1197]","[1226, 1255, 1314, 1246, 1218, 1238, 1262, 1283, 1298, 1242]","[1193, 1324, 1297, 1300, 1293, 1282, 1279, 1184, 1235, 1298]","[1244, 1227, 1353, 1304, 1318, 1246, 1299, 1280, 1263, 1255]","[1261, 1330, 1239, 1236, 1293, 1257, 1243, 1271, 1248, 1262]","[1215, 1242, 1262, 1235, 1234, 1292, 1242, 1243, 1173, 1291]","[1241, 1259, 1259, 1236, 1206, 1273, 1224, 1214, 1246, 1299]","[1199, 1152, 1263, 1245, 1185, 1182, 1311, 1233, 1208, 1250]","[1259, 1234, 1215, 1232, 1234, 1207, 1197, 1164, 1174, 1154]","[1237, 1126, 1187, 1210, 1282, 1250, 1223, 1197, 1242, 1259]","[1207, 1158, 1180, 1218, 1199, 1195, 1150, 1159, 1197, 1204]","[1228, 1222, 1159, 1198, 1187, 1176, 1218, 1160, 1230, 1224]","[1167, 1231, 1207, 1187, 1171, 1216, 1218, 1218, 1205, 1222]","[1236, 1131, 1127, 1147, 1193, 1172, 1188, 1239, 1246, 1188]","[1157, 1222, 1231, 1199, 1171, 1147, 1173, 1187, 1146, 1197]","[1229, 1160, 1132, 1203, 1203, 1145, 1188, 1243, 1199, 1142]","[1164, 1192, 1156, 1190, 1132, 1139, 1083, 1148, 1192, 1133]","[1149, 1213, 1224, 1160, 1171, 1117, 1142, 1113, 1160, 1178]","[1175, 1129, 1139, 1216, 1123, 1201, 1134, 1136, 1173, 1160]"
5,"[492, 512, 495, 528, 508, 499, 488, 492, 520, 530]","[441, 474, 477, 472, 454, 492, 478, 484, 450, 455]","[318, 304, 345, 340, 335, 311, 315, 314, 329, 340]","[331, 353, 332, 339, 333, 346, 348, 355, 334, 331]","[328, 330, 358, 354, 349, 374, 361, 372, 324, 359]","[315, 367, 320, 330, 332, 338, 358, 322, 328, 369]","[302, 345, 339, 321, 368, 337, 307, 286, 310, 346]","[294, 320, 332, 328, 351, 361, 348, 322, 351, 340]","[350, 355, 374, 300, 361, 326, 362, 343, 360, 337]","[343, 336, 329, 335, 328, 340, 328, 327, 276, 334]","[345, 304, 318, 333, 341, 327, 333, 354, 350, 339]","[335, 318, 339, 306, 340, 321, 306, 339, 329, 333]","[316, 313, 354, 321, 323, 327, 317, 338, 340, 323]","[293, 312, 330, 331, 340, 310, 317, 351, 359, 352]","[342, 288, 305, 322, 320, 293, 356, 297, 331, 334]","[306, 331, 324, 310, 312, 327, 298, 333, 305, 336]","[322, 331, 324, 325, 291, 322, 309, 315, 339, 348]","[296, 341, 326, 297, 340, 314, 333, 303, 327, 323]","[308, 324, 282, 331, 280, 342, 323, 292, 309, 331]","[278, 310, 351, 338, 319, 332, 291, 301, 322, 285]","[323, 280, 294, 299, 281, 339, 301, 286, 306, 315]"
6,"[129, 144, 130, 132, 144, 148, 146, 144, 135, 133]","[106, 129, 121, 150, 138, 133, 124, 139, 113, 132]","[98, 80, 95, 81, 95, 85, 76, 91, 91, 96]","[97, 94, 97, 97, 88, 88, 112, 78, 103, 94]","[88, 96, 86, 85, 89, 87, 108, 100, 83, 88]","[106, 83, 91, 97, 90, 84, 83, 99, 99, 90]","[91, 87, 86, 76, 99, 102, 104, 96, 88, 98]","[84, 81, 108, 101, 89, 94, 86, 83, 78, 107]","[95, 77, 88, 95, 97, 97, 60, 89, 81, 90]","[85, 104, 70, 108, 103, 80, 98, 84, 93, 83]","[97, 87, 89, 85, 89, 81, 84, 97, 86, 93]","[107, 97, 77, 89, 92, 99, 91, 79, 89, 73]","[85, 105, 96, 88, 96, 75, 95, 109, 84, 108]","[82, 99, 78, 80, 81, 103, 79, 87, 66, 98]","[79, 92, 102, 94, 98, 94, 96, 106, 74, 74]","[99, 98, 89, 82, 80, 82, 110, 79, 96, 82]","[91, 99, 77, 95, 79, 90, 85, 76, 71, 103]","[81, 83, 88, 86, 82, 100, 88, 85, 101, 87]","[71, 91, 76, 77, 82, 72, 89, 77, 74, 82]","[79, 88, 85, 79, 81, 75, 103, 80, 76, 95]","[82, 83, 89, 86, 88, 72, 77, 80, 89, 83]"
7,"[44, 37, 41, 30, 44, 37, 49, 50, 41, 40]","[33, 32, 29, 30, 38, 25, 41, 37, 40, 37]","[29, 19, 20, 28, 23, 30, 29, 34, 32, 23]","[22, 18, 25, 20, 19, 21, 22, 23, 22, 35]","[35, 35, 18, 22, 32, 33, 26, 23, 23, 23]","[22, 22, 33, 34, 32, 26, 19, 21, 22, 21]","[14, 28, 17, 29, 26, 28, 22, 24, 31, 19]","[27, 16, 14, 24, 20, 19, 35, 27, 39, 21]","[20, 34, 26, 36, 24, 35, 15, 23, 23, 26]","[31, 16, 35, 35, 20, 29, 22, 14, 21, 20]","[23, 26, 24, 22, 28, 19, 18, 27, 24, 21]","[21, 23, 32, 26, 23, 23, 16, 17, 25, 26]","[25, 32, 20, 16, 28, 23, 24, 35, 17, 31]","[23, 24, 26, 24, 30, 26, 26, 21, 21, 28]","[22, 23, 25, 17, 20, 22, 15, 24, 29, 17]","[17, 19, 18, 17, 23, 30, 27, 26, 28, 20]","[27, 22, 16, 25, 22, 25, 22, 22, 26, 33]","[31, 20, 23, 22, 21, 22, 29, 23, 33, 26]","[25, 20, 22, 17, 33, 22, 30, 17, 28, 28]","[20, 22, 23, 22, 26, 22, 25, 18, 30, 21]","[20, 28, 25, 33, 17, 30, 26, 15, 20, 18]"
8,"[9, 14, 21, 16, 12, 4, 10, 13, 11, 9]","[10, 7, 9, 9, 16, 10, 4, 8, 9, 10]","[6, 6, 7, 10, 12, 9, 5, 5, 9, 8]","[5, 4, 7, 4, 6, 8, 7, 9, 4, 7]","[7, 3, 4, 5, 9, 4, 5, 10, 7, 2]","[3, 9, 4, 7, 5, 6, 4, 7, 3, 6]","[12, 7, 10, 9, 6, 7, 8, 3, 9, 4]","[6, 2, 5, 11, 9, 5, 9, 3, 4, 5]","[11, 6, 5, 11, 7, 12, 6, 8, 3, 3]","[7, 11, 7, 8, 5, 10, 9, 2, 6, 7]","[9, 5, 9, 8, 3, 2, 3, 5, 5, 5]","[7, 5, 7, 6, 9, 6, 7, 4, 6, 5]","[7, 4, 3, 12, 6, 9, 6, 4, 7, 10]","[2, 21, 11, 4, 13, 5, 10, 8, 11, 5]","[3, 5, 3, 2, 5, 9, 6, 3, 8, 5]","[8, 3, 5, 10, 4, 6, 3, 4, 10, 4]","[6, 8, 6, 4, 7, 8, 6, 8, 10, 10]","[10, 6, 5, 9, 7, 3, 4, 7, 9, 8]","[9, 12, 6, 6, 6, 4, 2, 12, 6, 11]","[5, 10, 10, 7, 10, 6, 3, 9, 10, 7]","[8, 6, 6, 7, 6, 4, 5, 8, 6, 1]"
9,"[4, 1, 1, 5, 3, 3, 2, 2, 1, 1]","[3, 2, 6, 4, 1, 3, 3, 3, 2, 1]","[0, 1, 4, 1, 4, 4, 2, 2, 2, 3]","[2, 3, 1, 2, 3, 0, 2, 1, 2, 3]","[3, 1, 4, 2, 0, 3, 0, 1, 0, 3]","[1, 3, 1, 2, 2, 2, 3, 0, 0, 1]","[3, 1, 2, 1, 1, 1, 2, 4, 3, 3]","[1, 4, 4, 2, 2, 1, 3, 3, 1, 1]","[0, 1, 1, 1, 1, 3, 3, 1, 2, 1]","[1, 2, 1, 4, 3, 4, 2, 1, 1, 2]","[2, 3, 1, 2, 3, 1, 1, 1, 0, 1]","[0, 2, 3, 2, 2, 1, 2, 2, 1, 6]","[1, 2, 3, 3, 3, 0, 1, 1, 2, 2]","[3, 2, 4, 2, 3, 2, 5, 1, 3, 4]","[2, 3, 0, 2, 2, 0, 0, 3, 3, 1]","[5, 2, 1, 3, 1, 1, 1, 1, 4, 2]","[0, 1, 2, 2, 0, 1, 4, 0, 2, 2]","[2, 1, 5, 1, 2, 1, 2, 2, 2, 0]","[4, 3, 3, 4, 2, 0, 3, 1, 3, 0]","[2, 1, 0, 2, 2, 0, 2, 3, 3, 1]","[1, 3, 0, 2, 3, 0, 1, 2, 3, 1]"
10,"[2, 0, 1, 1, 1, 1, 1, 3, 1, 1]","[0, 0, 0, 0, 2, 0, 1, 0, 1, 2]","[0, 0, 1, 0, 2, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 2, 0, 1, 1]","[0, 1, 0, 0, 0, 2, 0, 1, 2, 0]","[0, 0, 0, 0, 5, 2, 0, 0, 0, 0]","[0, 0, 0, 0, 2, 0, 2, 0, 2, 0]","[0, 0, 2, 0, 1, 1, 0, 1, 1, 0]","[0, 1, 0, 0, 0, 0, 1, 0, 1, 2]","[0, 0, 0, 0, 2, 0, 0, 1, 0, 0]","[0, 1, 0, 0, 1, 1, 1, 1, 0, 0]","[0, 0, 1, 0, 2, 0, 0, 0, 1, 0]","[0, 1, 0, 1, 0, 2, 1, 0, 1, 0]","[0, 2, 1, 0, 0, 1, 0, 0, 1, 1]","[1, 0, 0, 0, 0, 3, 0, 0, 1, 0]","[0, 1, 0, 1, 1, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 1, 2, 0, 2, 0, 1]","[0, 0, 0, 1, 0, 1, 0, 1, 0, 0]","[1, 1, 0, 0, 0, 0, 0, 1, 1, 0]","[1, 0, 0, 0, 2, 1, 1, 2, 0, 0]","[2, 2, 0, 0, 0, 1, 0, 0, 1, 0]"
11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 2, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 2, 0, 0, 2, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 1, 0, 0, 0, 0, 0]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 1, 0, 1, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 0, 1, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 1, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[1, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
12,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
